Id   Arrival   Waiting   Leaving   Transaction Type   Served?   
1      8.0      0.0      8.2        Show_Balance          Yes
2      8.2      0.0      9.2        Open_Account          Yes
3      8.7      0.0      8.7        Unknown             No
4      8.10      0.0      8.20        Withdraw          Yes
5      8.15      0.0      8.35        Deposit          Yes
6      8.15      0.0      9.15        Open_Account          Yes
7      8.16      0.0      8.36        Deposit          Yes
8      8.18      0.0      9.18        Open_Account          Yes
9      8.24      0.0      8.34        Withdraw          Yes
10      8.24      0.0      8.34        Withdraw          Yes
11      8.29      0.0      8.49        Deposit          Yes
12      8.34      0.0      8.36        Show_Balance          Yes
13      8.35      0.0      9.35        Open_Account          Yes
14      8.39      0.0      9.39        Open_Account          Yes
15      8.49      0.0      8.51        Show_Balance          Yes
16      8.51      0.0      9.1        Withdraw          Yes
17      8.56      0.0      8.56        Unknown             No
18      9.1      0.0      9.3        Show_Balance          Yes
19      9.6      0.0      9.26        Deposit          Yes
20      9.7      0.0      9.17        Withdraw          Yes
21      9.10      0.0      9.10        Unknown             No
22      9.13      0.0      9.23        Withdraw          Yes
23      9.15      0.0      9.35        Deposit          Yes
24      9.19      0.0      9.19        Unknown             No
25      9.21      0.0      9.23        Show_Balance          Yes
26      9.24      0.0      9.44        Deposit          Yes
27      9.26      0.0      9.36        Withdraw          Yes
28      9.31      0.0      9.51        Deposit          Yes
29      9.31      0.0      9.51        Deposit          Yes
30      9.33      0.0      9.33        Unknown             No
31      9.38      0.0      10.38        Open_Account          Yes
32      9.39      0.0      9.49        Withdraw          Yes
33      9.45      0.0      10.45        Open_Account          Yes
34      9.46      0.0      9.46        Unknown             No
35      9.48      0.0      9.50        Show_Balance          Yes
36      9.49      0.0      9.51        Show_Balance          Yes
37      9.53      0.0      10.13        Deposit          Yes
38      10.6      0.0      11.6        Open_Account          Yes
39      10.22      0.0      11.22        Open_Account          Yes
40      10.23      0.0      10.25        Show_Balance          Yes
41      10.24      0.0      10.24        Unknown             No
42      10.31      0.0      10.51        Deposit          Yes
43      10.32      0.0      10.52        Deposit          Yes
44      10.33      0.0      10.53        Deposit          Yes
45      10.42      0.0      10.44        Show_Balance          Yes
46      10.48      0.0      10.58        Withdraw          Yes
47      10.50      0.0      11.50        Open_Account          Yes
48      10.51      0.0      11.1        Withdraw          Yes
49      10.59      0.0      10.59        Unknown             No
50      11.4      0.0      11.6        Show_Balance          Yes
51      11.7      0.0      11.27        Deposit          Yes
52      11.7      0.0      11.7        Unknown             No
53      11.7      0.0      12.7        Open_Account          Yes
54      11.11      0.0      11.21        Withdraw          Yes
55      11.11      0.0      11.21        Withdraw          Yes
56      11.19      0.0      11.19        Unknown             No
57      11.19      0.0      11.39        Deposit          Yes
58      11.21      0.0      12.21        Open_Account          Yes
59      11.24      0.0      11.44        Deposit          Yes
60      11.28      0.0      11.28        Unknown             No
61      11.41      0.0      11.41        Unknown             No
62      11.43      0.0      11.53        Withdraw          Yes
63      11.45      0.0      11.55        Withdraw          Yes
64      11.48      0.0      11.50        Show_Balance          Yes
65      11.50      0.0      12.50        Open_Account          Yes
66      11.51      0.0      11.51        Unknown             No
67      12.13      0.0      12.33        Deposit          Yes
68      12.14      0.0      12.16        Show_Balance          Yes
69      12.15      0.0      12.25        Withdraw          Yes
70      12.28      0.0      12.30        Show_Balance          Yes
71      12.29      0.0      12.39        Withdraw          Yes
72      12.30      0.0      12.30        Unknown             No
73      12.34      0.0      12.54        Deposit          Yes
74      12.35      0.0      12.55        Deposit          Yes
75      12.40      0.0      12.40        Unknown             No
76      12.42      0.0      12.52        Withdraw          Yes
77      12.43      0.0      12.45        Show_Balance          Yes
78      12.44      0.0      12.44        Unknown             No
79      12.47      0.0      12.49        Show_Balance          Yes
80      12.51      0.0      13.1        Withdraw          Yes
81      12.53      0.0      13.3        Withdraw          Yes
82      12.53      0.0      13.13        Deposit          Yes
83      12.56      0.0      12.56        Unknown             No
84      12.59      0.0      13.19        Deposit          Yes
85      13.2      0.0      13.2        Unknown             No
86      13.3      0.0      13.23        Deposit          Yes
87      13.4      0.0      13.6        Show_Balance          Yes
88      13.5      0.0      13.15        Withdraw          Yes
89      13.9      0.0      13.29        Deposit          Yes
90      13.14      0.0      13.34        Deposit          Yes
91      13.17      0.0      13.17        Unknown             No
92      13.26      0.0      13.36        Withdraw          Yes
93      13.29      0.0      13.49        Deposit          Yes
94      13.30      0.0      14.30        Open_Account          Yes
95      13.39      0.0      13.39        Unknown             No
96      13.39      0.0      14.39        Open_Account          Yes
97      13.41      0.0      14.41        Open_Account          Yes
98      13.48      0.0      14.8        Deposit          Yes
99      13.50      0.0      14.10        Deposit          Yes
100      13.55      0.0      13.55        Unknown             No
101      13.55      0.0      14.55        Open_Account          Yes
102      13.57      0.0      13.59        Show_Balance          Yes
103      14.3      0.0      14.3        Unknown             No
104      14.4      0.0      15.4        Open_Account          Yes
105      14.10      0.0      15.10        Open_Account          Yes
106      14.11      0.0      14.31        Deposit          Yes
107      14.18      0.0      15.18        Open_Account          Yes
108      14.21      0.0      15.21        Open_Account          Yes
109      14.21      0.0      14.23        Show_Balance          Yes
110      14.24      0.0      14.34        Withdraw          Yes
111      14.25      0.0      14.35        Withdraw          Yes
112      14.26      0.0      14.36        Withdraw          Yes
113      14.34      0.0      14.34        Unknown             No
114      14.39      0.0      14.41        Show_Balance          Yes
115      14.40      0.0      14.42        Show_Balance          Yes
116      14.43      0.0      14.43        Unknown             No
117      14.45      0.0      14.55        Withdraw          Yes
118      14.47      0.0      14.47        Unknown             No
119      14.48      0.0      14.50        Show_Balance          Yes
120      14.57      0.0      14.59        Show_Balance          Yes
121      15.1      0.0      15.11        Withdraw          Yes
122      15.5      0.0      15.5        Unknown             No
123      15.20      0.0      16.20        Open_Account          Yes
124      15.22      0.0      15.42        Deposit          Yes
125      15.22      0.0      15.22        Unknown             No
126      15.26      0.0      15.36        Withdraw          Yes
127      15.47      0.0      15.49        Show_Balance          Yes
128      15.47      0.0      15.57        Withdraw          Yes
129      16.1      0.0      16.3        Show_Balance          Yes
130      16.7      0.0      16.27        Deposit          Yes
131      16.27      0.0      17.27        Open_Account          Yes
132      16.30      0.0      17.30        Open_Account          Yes
133      16.31      0.0      16.51        Deposit          Yes
134      16.33      0.0      16.33        Unknown             No
135      16.33      0.0      16.35        Show_Balance          Yes
136      16.38      0.0      16.40        Show_Balance          Yes
137      16.38      0.0      16.48        Withdraw          Yes
138      16.40      0.0      17.40        Open_Account          Yes
139      16.40      0.0      16.42        Show_Balance          Yes
140      16.41      0.0      17.1        Deposit          Yes
141      16.47      0.0      17.47        Open_Account          Yes
142      16.49      0.0      17.9        Deposit          Yes
143      16.49      0.0      17.49        Open_Account          Yes
144      16.54      0.0      16.54        Unknown             No
145      17.0      0.0      17.2        Show_Balance          Yes
146      17.0      0.0      17.10        Withdraw          Yes
147      17.1      0.0      17.1        Unknown             No
148      17.5      0.0      17.5        Unknown             No
149      17.5      0.0      17.15        Withdraw          Yes
150      17.6      0.0      17.16        Withdraw          Yes
151      17.6      0.0      17.16        Withdraw          Yes
152      17.7      0.0      18.7        Open_Account          Yes
153      17.10      0.0      17.30        Deposit          Yes
154      17.20      0.0      17.40        Deposit          Yes
155      17.26      0.0      18.26        Open_Account          Yes
156      17.27      0.0      18.27        Open_Account          Yes
157      17.28      0.0      17.38        Withdraw          Yes
158      17.32      0.0      17.42        Withdraw          Yes
159      17.35      0.0      18.35        Open_Account          Yes
160      17.41      0.0      18.41        Open_Account          Yes
161      17.43      0.0      18.3        Deposit          Yes
162      17.52      0.0      17.52        Unknown             No
163      17.53      0.0      17.53        Unknown             No
164      17.59      0.0      17.59        Unknown             No
165      18.12      0.0      18.12        Unknown             No
166      18.14      0.0      19.14        Open_Account          Yes
167      18.16      0.0      18.26        Withdraw          Yes
168      18.21      0.0      18.31        Withdraw          Yes
169      18.31      0.0      18.51        Deposit          Yes
170      18.34      0.0      18.44        Withdraw          Yes
171      18.42      0.0      18.42        Unknown             No
172      18.45      0.0      19.45        Open_Account          Yes
173      18.47      0.0      18.47        Unknown             No
174      18.48      0.0      18.48        Unknown             No
175      18.50      0.0      19.50        Open_Account          Yes
176      18.52      0.0      19.52        Open_Account          Yes
177      18.52      0.0      19.52        Open_Account          Yes
178      18.52      0.0      18.54        Show_Balance          Yes
179      18.52      0.0      19.12        Deposit          Yes
180      19.10      0.0      19.12        Show_Balance          Yes
181      19.12      0.0      19.12        Unknown             No
182      19.14      0.0      20.14        Open_Account          Yes
183      19.15      0.0      19.15        Unknown             No
184      19.15      0.0      19.15        Unknown             No
185      19.19      0.0      19.19        Unknown             No
186      19.21      0.0      19.31        Withdraw          Yes
187      19.22      0.0      19.22        Unknown             No
188      19.24      0.0      20.24        Open_Account          Yes
189      19.24      0.0      20.24        Open_Account          Yes
190      19.31      0.0      19.33        Show_Balance          Yes
191      19.31      0.0      20.31        Open_Account          Yes
192      19.32      0.0      19.52        Deposit          Yes
193      19.33      0.0      20.33        Open_Account          Yes
194      19.37      0.0      19.57        Deposit          Yes
195      19.38      0.0      20.38        Open_Account          Yes
196      19.40      0.0      19.42        Show_Balance          Yes
197      19.45      0.0      19.45        Unknown             No
198      19.46      0.0      19.48        Show_Balance          Yes
199      19.50      0.0      20.10        Deposit          Yes
200      19.55      0.0      20.55        Open_Account          Yes
Customers per day:200
Served Customers per day:156
