Id:          Working hours  Idle hours
1     8.50           0.50
2     8.8           0.8
3     8.30           0.30
4     8.14           0.14
5     8.16           0.16
6     7.12           1.12
7     5.54           3.6
8     6.20           2.-20
9     3.10           5.50
10     1.48           7.12
11     3.40           5.20
12     2.10           6.50
13     1.0           7.0
14     0.20           7.40
15     0.20           7.40
16     1.0           7.0
17     0.4           7.56
18     0.0           8.0
19     0.0           8.0
20     0.0           8.0
